title|volume_start|volume_end|cover_image|release_date|isbn|type
7th Time Loop: The Villainess Enjoys a Carefree Life Married to Her Worst Enemy!|1||https://sevenseasentertainment.com/wp-content/uploads/2022/04/7thTimeLoop_site.jpg|Jul 19, 2022|9781638583936|volume
7th Time Loop: The Villainess Enjoys a Carefree Life Married to Her Worst Enemy!|2||https://sevenseasentertainment.com/wp-content/uploads/2022/10/7thTimeLoopLN2_site.jpg|Dec 13, 2022|9781638583943|volume
7th Time Loop: The Villainess Enjoys a Carefree Life Married to Her Worst Enemy!|3||https://sevenseasentertainment.com/wp-content/uploads/2022/10/7thTimeLoopLN3_site.jpg|Apr 25, 2023|9781638588580|volume
7th Time Loop: The Villainess Enjoys a Carefree Life Married to Her Worst Enemy!|4||https://sevenseasentertainment.com/wp-content/uploads/2023/03/7thTimeLoopLN4_site.jpg|Aug 01, 2023|9781685796488|volume
7th Time Loop: The Villainess Enjoys a Carefree Life Married to Her Worst Enemy!|5||https://sevenseasentertainment.com/wp-content/uploads/2023/11/7thtimeloopLN5_site.jpg|Apr 30, 2024|9798888430842|volume
7th Time Loop: The Villainess Enjoys a Carefree Life Married to Her Worst Enemy!|6||https://sevenseasentertainment.com/wp-content/uploads/2024/04/7thTimeLoopLN6_site.jpg|Oct 01, 2024|9798888434291|volume
A Good Day Starts with Cats and Books||||Feb 10, 2026|9798895617779|single
A Tale of the Secret Saint|1||https://sevenseasentertainment.com/wp-content/uploads/2021/06/a-tale-of-the-secret-saint-LN1_site.jpg|Nov 02, 2021|9781648276460|volume
A Tale of the Secret Saint|2||https://sevenseasentertainment.com/wp-content/uploads/2021/12/A-tale-of-the-Secret-Saint-LN2_site.jpg|Apr 12, 2022|9781648276477|volume
A Tale of the Secret Saint|3||https://sevenseasentertainment.com/wp-content/uploads/2022/03/A-Tale-of-the-Secret-Saint-LN-3_site.jpg|Jul 26, 2022|9781638581819|volume
A Tale of the Secret Saint|4||https://sevenseasentertainment.com/wp-content/uploads/2022/07/secretSaintLN4_site.jpg|Dec 27, 2022|9781638583363|volume
A Tale of the Secret Saint|5||https://sevenseasentertainment.com/wp-content/uploads/2023/09/secretSaintLN5_site.jpg|Dec 19, 2023|9781638587613|volume
A Tale of the Secret Saint|6||https://sevenseasentertainment.com/wp-content/uploads/2024/02/secretSaintLN6_site.jpg|Oct 01, 2024|9781685796426|volume
A Tale of the Secret Saint|7||https://sevenseasentertainment.com/wp-content/uploads/2024/06/secretSaintLN7_site.jpg|Dec 17, 2024|9798888436769|volume
A Tale of the Secret Saint|8||https://sevenseasentertainment.com/wp-content/uploads/2024/11/secretSaintLN8_site.jpg|Jul 29, 2025|9798893730210|volume
A Tale of the Secret Saint|9|||Dec 09, 2025|9798893734607|volume
A Tale of the Secret Saint ZERO|1||https://sevenseasentertainment.com/wp-content/uploads/2024/06/secretSaint-zeroLN1_site.jpg|Dec 31, 2024|9798891607415|volume
A Tale of the Secret Saint ZERO|2||https://sevenseasentertainment.com/wp-content/uploads/2024/10/secretSaint-zeroLN2_site.jpg|May 06, 2025|9798891609457|volume
A Tale of the Secret Saint ZERO|3||https://sevenseasentertainment.com/wp-content/uploads/2025/05/secretSaint-zeroLN3_site.jpg|Oct 07, 2025|9798893733792|volume
Accomplishments of the Duke’s Daughter|1||https://sevenseasentertainment.com/wp-content/uploads/2021/03/dukesdaughterLN1-cover.jpg|Jul 06, 2021|9781648274213|volume
Accomplishments of the Duke’s Daughter|2||https://sevenseasentertainment.com/wp-content/uploads/2021/06/dukesdaughterLN2_site.jpg|Sep 07, 2021|9781648274398|volume
Accomplishments of the Duke’s Daughter|3||https://sevenseasentertainment.com/wp-content/uploads/2021/11/Dukes-Daughter-Novel-3_siteRecrop.jpg|Nov 16, 2021|9781648274565|volume
Accomplishments of the Duke’s Daughter|4||https://sevenseasentertainment.com/wp-content/uploads/2021/12/Dukes-Daughter-LN4_site.jpg|Mar 08, 2022|9781648278334|volume
Accomplishments of the Duke’s Daughter|5||https://sevenseasentertainment.com/wp-content/uploads/2022/02/DukesDaughterLN5_site.jpg|Jun 14, 2022|9781638582878|volume
Accomplishments of the Duke’s Daughter|6||https://sevenseasentertainment.com/wp-content/uploads/2022/05/dukesdaughterLN6_site.jpg|Sep 13, 2022|9781638585930|volume
Accomplishments of the Duke’s Daughter|7||https://sevenseasentertainment.com/wp-content/uploads/2022/10/dukesDaughterLN7_site.jpg|Dec 27, 2022|9781638586975|volume
Accomplishments of the Duke’s Daughter|8||https://sevenseasentertainment.com/wp-content/uploads/2022/10/dukesDaughterLN8_site.jpg|Apr 18, 2023|9781638588597|volume
Adachi and Shimamura|1||https://sevenseasentertainment.com/wp-content/uploads/2020/01/Adachi-and-Shimamura-1-coverFRONT.jpg|Jul 14, 2020|9781645055358|volume
Adachi and Shimamura|2||https://sevenseasentertainment.com/wp-content/uploads/2020/03/Adachi-and-Shimamura-LN-2-coverFRONT.jpg|Sep 08, 2020|9781645055396|volume
Adachi and Shimamura|3||https://sevenseasentertainment.com/wp-content/uploads/2020/04/Adachi-and-Shimamura-LN-3-coverFRONT.jpg|Nov 24, 2020|9781645057710|volume
Adachi and Shimamura|4||https://sevenseasentertainment.com/wp-content/uploads/2020/05/Adachi-and-Shimamura-LN-4-coverFRONT.jpg|Feb 09, 2021|9781645057208|volume
Adachi and Shimamura|5||https://sevenseasentertainment.com/wp-content/uploads/2021/04/Adachi-and-Shimamura-LN-5-coverFRONT.jpg|Jun 01, 2021|9781648272004|volume
Adachi and Shimamura|6||https://sevenseasentertainment.com/wp-content/uploads/2021/06/Adachi-and-Shimamura-LN-6_site.jpg|Aug 17, 2021|9781648272622|volume
Adachi and Shimamura|7||https://sevenseasentertainment.com/wp-content/uploads/2021/11/Adachi-and-Shimamura-LN-7_siteRecrop.jpg|Nov 16, 2021|9781648273650|volume
Adachi and Shimamura|8||https://sevenseasentertainment.com/wp-content/uploads/2021/12/Adachi-and-Shimamura-LN-8_site.jpg|Feb 15, 2022|9781648272769|volume
Adachi and Shimamura|9||https://sevenseasentertainment.com/wp-content/uploads/2022/04/Adachi-and-Shimamura-LN-9_site.jpg|Jun 28, 2022|9781638583127|volume
Adachi and Shimamura|10||https://sevenseasentertainment.com/wp-content/uploads/2023/02/adachiShimamuraLN10_site-REVISED.jpg|Jan 17, 2023|9781638586982|volume
Adachi and Shimamura|11||https://sevenseasentertainment.com/wp-content/uploads/2023/07/adachiShimamuraLN11_site.jpg|Nov 14, 2023|9781638589587|volume
Adachi and Shimamura|12||https://sevenseasentertainment.com/wp-content/uploads/2025/05/adachiShimamuraLN12_site.jpg|Oct 07, 2025|9798888431009|volume
Adachi and Shimamura|1||https://sevenseasentertainment.com/wp-content/uploads/2024/09/adachiShimamuraLNSS_site.jpg|Feb 11, 2025|9798893731293|volume
Adachi and Shimamura|99||https://sevenseasentertainment.com/wp-content/uploads/2024/10/adachiShimamuraLN99pt9_site.jpg|Jun 03, 2025|9798893731286|volume
Alice in the Country of Diamonds|||https://sevenseasentertainment.com/wp-content/uploads/2016/08/alice-DIAMONDS-Bet-on-My-Heart.jpg|Oct 21, 2014|9781626921108|single
An Autumn in Amber, a Zero-Second Journey|||https://sevenseasentertainment.com/wp-content/uploads/2024/04/zeroSecondJourneyLN_site.jpg|Sep 24, 2024|9798891603189|single
Arifureta: From Commonplace to World’s Strongest|1||https://sevenseasentertainment.com/wp-content/uploads/2017/12/arifuretaLN1-cover-FRONT.jpg|Feb 06, 2018|9781626927681|volume
Arifureta: From Commonplace to World’s Strongest|2||https://sevenseasentertainment.com/wp-content/uploads/2018/04/arifuretaLN2_coverFRONT.jpg|May 15, 2018|9781626927803|volume
Arifureta: From Commonplace to World’s Strongest|3||https://sevenseasentertainment.com/wp-content/uploads/2018/07/ARIFURETA-LN-3-COVER_front.jpg|Aug 07, 2018|9781626928459|volume
Arifureta: From Commonplace to World’s Strongest|4||https://sevenseasentertainment.com/wp-content/uploads/2018/11/arifuretalightnovel4_coverFRONT.jpg|Dec 18, 2018|9781626929494|volume
Arifureta: From Commonplace to World’s Strongest|5||https://sevenseasentertainment.com/wp-content/uploads/2019/01/arifuretaLN5_coverFRONT.jpg|Apr 02, 2019|9781642750171|volume
Arifureta: From Commonplace to World’s Strongest|6||https://sevenseasentertainment.com/wp-content/uploads/2019/03/ARIFURETA_LN_6_coverFRONT.jpg|Jul 09, 2019|9781642751116|volume
Arifureta: From Commonplace to World’s Strongest|7||https://sevenseasentertainment.com/wp-content/uploads/2019/03/ARIFURETA_LN_7_coverFRONT.jpg|Dec 10, 2019|9781642757361|volume
Arifureta: From Commonplace to World’s Strongest|8||https://sevenseasentertainment.com/wp-content/uploads/2020/03/arifuretaLN_8-coverFRONT.jpg|Jul 07, 2020|9781645054351|volume
Arifureta: From Commonplace to World’s Strongest|9||https://sevenseasentertainment.com/wp-content/uploads/2020/05/Arifureta-LN-Vol9-coverFRONT.jpg|Aug 25, 2020|9781645054856|volume
Arifureta: From Commonplace to World’s Strongest|10||https://sevenseasentertainment.com/wp-content/uploads/2020/09/arifuretaLN10-coverFRONT.jpg|Oct 20, 2020|9781645057475|volume
Arifureta: From Commonplace to World’s Strongest|11||https://sevenseasentertainment.com/wp-content/uploads/2021/03/arifuretaLN11-coverFRONT_REVISED.jpg|Apr 13, 2021|9781645057468|volume
Arifureta: From Commonplace to World’s Strongest|12||https://sevenseasentertainment.com/wp-content/uploads/2022/10/arifuretaLN12_site.jpg|Mar 28, 2023|9781648279294|volume
Arifureta: From Commonplace to World’s Strongest|13||https://sevenseasentertainment.com/wp-content/uploads/2023/07/arifuretaLN13_site.jpg|Oct 24, 2023|9781648273186|volume
Arifureta: From Commonplace to World’s Strongest ZERO|1||https://sevenseasentertainment.com/wp-content/uploads/2019/04/ARIFURETA_ZERO_LN_1_coverFRONT.jpg|Sep 03, 2019|9781645051732|volume
Arifureta: From Commonplace to World’s Strongest ZERO|2||https://sevenseasentertainment.com/wp-content/uploads/2019/08/ARIFURETA_ZERO_LN_2_coverFRONT.jpg|Jan 07, 2020|9781645051763|volume
Arifureta: From Commonplace to World’s Strongest ZERO|3||https://sevenseasentertainment.com/wp-content/uploads/2020/06/arifuretazeroLN3-coverFRONT.jpg|Aug 04, 2020|9781645054610|volume
Arifureta: From Commonplace to World’s Strongest ZERO|4||https://sevenseasentertainment.com/wp-content/uploads/2020/11/arifuretazeroLN4-coverFRONT.jpg|Dec 29, 2020|9781645057901|volume
Arifureta: From Commonplace to World’s Strongest ZERO|5||https://sevenseasentertainment.com/wp-content/uploads/2022/01/arifuretazeroLN5_site.jpg|Mar 22, 2022|9781648272585|volume
Arifureta: From Commonplace to World’s Strongest ZERO|6||https://sevenseasentertainment.com/wp-content/uploads/2023/01/arifuretaZeroLN6_site.jpg|Mar 14, 2023|9781648274657|volume
At Night, I Become a Monster (Novel)|||https://sevenseasentertainment.com/wp-content/uploads/2019/12/At_Night_I_Become_A_Monster_LN_coverFRONT.jpg|Apr 28, 2020|9781645052975|single
Ballad of a Shinigami|1||https://sevenseasentertainment.com/wp-content/uploads/2016/08/balladshinigami_vol1.jpg|Mar 18, 2008|9781933164373|volume
Ballad of a Shinigami|2||https://sevenseasentertainment.com/wp-content/uploads/2016/08/balladshinigami_vol2.jpg|Jul 08, 2008|9781933164687|volume
Berserk of Gluttony|1||https://sevenseasentertainment.com/wp-content/uploads/2020/09/Berserk-of-Gluttony-LN-1-coverFRONT.jpg|Jan 05, 2021|9781648270680|volume
Berserk of Gluttony|2||https://sevenseasentertainment.com/wp-content/uploads/2021/02/Berserk-of-Gluttony-LN-2-coverFRONT.jpg|Apr 06, 2021|9781648270864|volume
Berserk of Gluttony|3||https://sevenseasentertainment.com/wp-content/uploads/2021/05/Berserk-of-Gluttony-LN-3_site.jpg|Jul 13, 2021|9781648272424|volume
Berserk of Gluttony|4||https://sevenseasentertainment.com/wp-content/uploads/2021/11/berserk-of-gluttony-LN4_siteRecrop.jpg|Nov 02, 2021|9781648273384|volume
Berserk of Gluttony|5||https://sevenseasentertainment.com/wp-content/uploads/2021/12/Berserk-of-Gluttony-LN-5_site.jpg|Mar 01, 2022|9781638581277|volume
Berserk of Gluttony|6||https://sevenseasentertainment.com/wp-content/uploads/2022/01/Berserk-of-Gluttony-LN-6_site.jpg|May 31, 2022|9781638582281|volume
Berserk of Gluttony|7||https://sevenseasentertainment.com/wp-content/uploads/2022/04/Berserk-of-Gluttony-LN7_site.jpg|Oct 11, 2022|9781638586319|volume
Berserk of Gluttony|8||https://sevenseasentertainment.com/wp-content/uploads/2023/08/berserkOfGluttonyLN8_site.jpg|Feb 06, 2024|9781638587620|volume
Betrothed to My Sister’s Ex|1|||Jan 20, 2026|9798895617496|volume
Bloom Into You : Regarding Saeki Sayaka|1||https://sevenseasentertainment.com/wp-content/uploads/2019/11/Bloom-In-To-You-LN-1-coverFRONT.jpg|Feb 11, 2020|9781642757545|volume
Bloom Into You : Regarding Saeki Sayaka|2||https://sevenseasentertainment.com/wp-content/uploads/2020/02/Bloom-In-To-You-LN-2-coverFRONT.jpg|Aug 11, 2020|9781645054627|volume
Bloom Into You : Regarding Saeki Sayaka|3||https://sevenseasentertainment.com/wp-content/uploads/2020/09/Bloom-In-To-You-LN-3-coverFRONT.jpg|Dec 22, 2020|9781645057277|volume
Boogiepop|1||https://sevenseasentertainment.com/wp-content/uploads/2018/01/SS-BPOPLN01.jpg|Jan 14, 2006|9781933164168|volume
Boogiepop|2||https://sevenseasentertainment.com/wp-content/uploads/2018/01/SS-BPOPLN02.jpg|Jun 21, 2006|9781933164205|volume
Boogiepop|3||https://sevenseasentertainment.com/wp-content/uploads/2018/01/SS-BPOPLN03.jpg|Oct 15, 2006|9781933164236|volume
Boogiepop|4||https://sevenseasentertainment.com/wp-content/uploads/2018/12/Boogiepop_4.jpg|Jul 19, 2018|0|volume
Boogiepop|5||https://sevenseasentertainment.com/wp-content/uploads/2018/12/Boogiepop_5.jpg|Aug 09, 2018|0|volume
Boogiepop|6||https://sevenseasentertainment.com/wp-content/uploads/2018/12/Boogiepop_6.jpg|Aug 05, 2008|9781934876060|volume
Boogiepop|1|3|https://sevenseasentertainment.com/wp-content/uploads/2018/08/boogiepopOM1-cover.jpg|Oct 16, 2018|9781626929173|omnibus
Boogiepop|4|6|https://sevenseasentertainment.com/wp-content/uploads/2018/09/BOOGIEPOP-LN-OMNIBUS-4-6_coverFRONT.jpg|Feb 05, 2019|9781642750386|omnibus
Buck Naked in Another World|1||https://sevenseasentertainment.com/wp-content/uploads/2020/04/Buck-Naked-1-coverFRONT.jpg|Jul 21, 2020|9781645055433|volume
Buck Naked in Another World|2||https://sevenseasentertainment.com/wp-content/uploads/2020/05/Buck-Naked-in-Another-World-LN-2-coverFRONT.jpg|Oct 27, 2020|9781645057505|volume
Chronicles of an Aristocrat Reborn in Another World|1|||Jan 06, 2026|9798895615676|volume
Classroom of the Elite|1||https://sevenseasentertainment.com/wp-content/uploads/2018/11/Classroom-of-the-Elite-1-coverFRONT.jpg|May 07, 2019|9781642751376|volume
Classroom of the Elite|2||https://sevenseasentertainment.com/wp-content/uploads/2019/01/Classroom-of-the-Elite-2-coverFRONT.jpg|Aug 13, 2019|9781642751390|volume
Classroom of the Elite|3||https://sevenseasentertainment.com/wp-content/uploads/2019/03/Classroom-of-the-Elite-3-cover-FRONT.jpg|Nov 19, 2019|9781642757231|volume
Classroom of the Elite|4||https://sevenseasentertainment.com/wp-content/uploads/2019/10/Classroom-of-the-Elite-4-coverFRONT.jpg|Feb 25, 2020|9781645051978|volume
Classroom of the Elite|4||https://sevenseasentertainment.com/wp-content/uploads/2019/09/Classroom-of-the-Elite-4p5-coverFRONT.jpg|Jun 16, 2020|9781645054375|volume
Classroom of the Elite|5||https://sevenseasentertainment.com/wp-content/uploads/2020/04/classroomoftheelite5-coverFRONT.jpg|Jul 21, 2020|9781645054863|volume
Classroom of the Elite|6||https://sevenseasentertainment.com/wp-content/uploads/2020/05/Classroom-of-the-Elite-6-coverFRONT.jpg|Oct 13, 2020|9781645057512|volume
Classroom of the Elite|7||https://sevenseasentertainment.com/wp-content/uploads/2020/06/Classroom-of-the-Elite-7-coverFRONT.jpg|Jan 19, 2021|9781645058205|volume
Classroom of the Elite|7||https://sevenseasentertainment.com/wp-content/uploads/2021/02/Classroom-of-the-Elite-7p5-coverFRONT.jpg|Mar 23, 2021|9781645059752|volume
Classroom of the Elite|8||https://sevenseasentertainment.com/wp-content/uploads/2021/04/Classroom-of-the-Elite-8-coverFRONT.jpg|Jun 22, 2021|9781648272233|volume
Classroom of the Elite|9||https://sevenseasentertainment.com/wp-content/uploads/2021/07/classroomoftheeliteLN9_site.jpg|Sep 28, 2021|9781648272615|volume
Classroom of the Elite|10||https://sevenseasentertainment.com/wp-content/uploads/2022/03/Classroom-of-the-Elite-10_site.jpg|Mar 15, 2022|9781648273216|volume
Classroom of the Elite|11||https://sevenseasentertainment.com/wp-content/uploads/2022/03/Classroom-of-the-Elite-LN11_site.jpg|May 10, 2022|9781648273612|volume
Classroom of the Elite|11||https://sevenseasentertainment.com/wp-content/uploads/2022/04/Classroom-of-the-Elite-11p5_site.jpg|Jun 28, 2022|9781638581024|volume
Classroom of the Elite|1||https://sevenseasentertainment.com/wp-content/uploads/2022/05/Classroom-of-the-Elite-YEAR-2-vol-01_site.jpg|Jul 19, 2022|9781638581826|volume
Classroom of the Elite|2||https://sevenseasentertainment.com/wp-content/uploads/2022/06/classroomoftheeliteY2LN2_site.jpg|Sep 20, 2022|9781638583370|volume
Classroom of the Elite|3||https://sevenseasentertainment.com/wp-content/uploads/2022/08/classroomEliteY2LN3_site.jpg|Nov 22, 2022|9781638586425|volume
Classroom of the Elite|4||https://sevenseasentertainment.com/wp-content/uploads/2022/12/classroomEliteY2LN4_site.jpg|Feb 07, 2023|9781638588177|volume
Classroom of the Elite|4||https://sevenseasentertainment.com/wp-content/uploads/2022/12/classroomEliteY2LN4-5_site.jpg|May 09, 2023|9781685796396|volume
Classroom of the Elite|5||https://sevenseasentertainment.com/wp-content/uploads/2022/12/classroomEliteY2LN5_site.jpg|Jul 11, 2023|9781685796532|volume
Classroom of the Elite|6||https://sevenseasentertainment.com/wp-content/uploads/2023/05/classroomEliteY2LN6_site.jpg|Oct 03, 2023|9781638588160|volume
Classroom of the Elite|7||https://sevenseasentertainment.com/wp-content/uploads/2023/07/classroomEliteY2LN7_site.jpg|Dec 05, 2023|9781685799472|volume
Classroom of the Elite|8||https://sevenseasentertainment.com/wp-content/uploads/2023/11/Classroom-of-the-Elite-YEAR-2-vol-08_site.jpg|Apr 16, 2024|9798888434307|volume
Classroom of the Elite|9||https://sevenseasentertainment.com/wp-content/uploads/2024/03/classroomEliteY2LN9_site.jpg|Aug 06, 2024|9798888438718|volume
Classroom of the Elite|9||https://sevenseasentertainment.com/wp-content/uploads/2024/06/classroomEliteY2LN9.5_site.jpg|Dec 10, 2024|9798891602250|volume
Classroom of the Elite|10||https://sevenseasentertainment.com/wp-content/uploads/2024/10/classroomEliteY2LN10_site.jpg|Mar 25, 2025|9798891607545|volume
Classroom of the Elite|11||https://sevenseasentertainment.com/wp-content/uploads/2024/11/classroomEliteY2LN11_site.jpg|Jul 08, 2025|9798893730142|volume
Classroom of the Elite|12||https://sevenseasentertainment.com/wp-content/uploads/2025/05/classroomEliteY2LN12_site.jpg|Oct 07, 2025|9798893736076|volume
Classroom of the Elite|9||https://sevenseasentertainment.com/wp-content/uploads/2025/05/classroomoftheeliteYR2LN09p5_450x450.jpg||0|volume
Clockwork Planet|1||https://sevenseasentertainment.com/wp-content/uploads/2018/01/Clockwork-Planet1_front.jpg|Feb 27, 2018|9781626927551|volume
Clockwork Planet|2||https://sevenseasentertainment.com/wp-content/uploads/2018/05/Clockwork-Planet-LN-2-coverBACK.jpg|Jun 26, 2018|9781626928176|volume
Clockwork Planet|3||https://sevenseasentertainment.com/wp-content/uploads/2018/07/CLOCKWORK-PLANET-LN-3.jpg|Nov 27, 2018|9781626929364|volume
Clockwork Planet|4||https://sevenseasentertainment.com/wp-content/uploads/2018/11/CLOCKWORK-PLANET-LIGHT-NOVEL-4-cover-FRONT.jpg|Apr 16, 2019|9781642750027|volume
Dance in the Vampire Bund|||https://sevenseasentertainment.com/wp-content/uploads/2016/08/danceinthevampirebund-secret-chronicles.jpg|Oct 21, 2014|9781626920620|single
Didn’t I Say to Make My Abilities Average in the Next Life?!|1||https://sevenseasentertainment.com/wp-content/uploads/2018/01/abilitiesaverage1-cover_site.jpg|Jun 12, 2018|9781626928695|volume
Didn’t I Say to Make My Abilities Average in the Next Life?!|2||https://sevenseasentertainment.com/wp-content/uploads/2018/04/didntisayLN2_front_site.jpg|Aug 07, 2018|9781626928718|volume
Didn’t I Say to Make My Abilities Average in the Next Life?!|3||https://sevenseasentertainment.com/wp-content/uploads/2018/07/didntisayabilitiesaverage3_coverFRONT.jpg|Sep 11, 2018|9781626929616|volume
Didn’t I Say to Make My Abilities Average in the Next Life?!|4||https://sevenseasentertainment.com/wp-content/uploads/2018/07/didntisayabilitiesaverage4_coverFRONT.jpg|Nov 20, 2018|9781626929371|volume
Didn’t I Say to Make My Abilities Average in the Next Life?!|5||https://sevenseasentertainment.com/wp-content/uploads/2018/10/didntisayabilitiesaverage5_coverFRONT.jpg|Mar 19, 2019|9781642750034|volume
Didn’t I Say to Make My Abilities Average in the Next Life?!|6||https://sevenseasentertainment.com/wp-content/uploads/2019/03/didntisayLN6_coverFRONT.jpg|Jun 25, 2019|9781642750867|volume
Didn’t I Say to Make My Abilities Average in the Next Life?!|7||https://sevenseasentertainment.com/wp-content/uploads/2019/03/didntisayLN7_coverFRONT.jpg|Nov 05, 2019|9781642757224|volume
Didn’t I Say to Make My Abilities Average in the Next Life?!|8||https://sevenseasentertainment.com/wp-content/uploads/2019/08/Abilities-Average-LN-8-coverFRONTv3.jpg|Mar 24, 2020|9781645052111|volume
Didn’t I Say to Make My Abilities Average in the Next Life?!|9||https://sevenseasentertainment.com/wp-content/uploads/2020/02/Abilities-Average-LN-9-coverFRONT.jpg|Jul 07, 2020|9781645054870|volume
Didn’t I Say to Make My Abilities Average in the Next Life?!|10||https://sevenseasentertainment.com/wp-content/uploads/2020/05/Abilities-Average-LN-10-coverFRONTv2.jpg|Sep 29, 2020|9781645057215|volume
Didn’t I Say to Make My Abilities Average in the Next Life?!|11||https://sevenseasentertainment.com/wp-content/uploads/2020/09/Abilities-Average-LN-11-coverFRONT.jpg|Dec 22, 2020|9781645057925|volume
Didn’t I Say to Make My Abilities Average in the Next Life?!|12||https://sevenseasentertainment.com/wp-content/uploads/2020/11/Abilities-Average-LN-12-coverFRONT.jpg|Apr 06, 2021|9781645058182|volume
