title|synopsis|creators|genres|type
7th Time Loop: The Villainess Enjoys a Carefree Life Married to Her Worst Enemy!|Being reborn once may sound impressive, but Rishe is already on her seventh time around! She has had all kinds of excitement in her previous lives, from peddling goods as a merchant to locking blades as a knight, so now she’s determined to kick back and enjoy. But to savor the high life, she first has to marry the handsome prince…the same one who happens to be her murderer! It will take six-plus lifetimes of experience and skills for Rishe to break the time loop and make her extravagant dreams come true!|["Touko Amekawa","Wan☆Hachipisu"]|["Fantasy","Light Novels","Romance","Shojo / Josei","Villainesses"]|series
A Good Day Starts with Cats and Books|Welcome to Frère, a picture-purrfect share bookstore tucked away in a cozy corner of Shinjuku, complete with its very own adorable cat mascots! In a shared bookstore, each shelf is curated by individual “shelf owners,” each contributing their own books and personal touch to the space. Inside, you’ll meet as many fascinating and unique people as there are books: a hairstylist struggling to keep up with the latest trends, a student trying to make ends meet, a bartender eager to understand people through literature, and other colorful patrons seeking the perfect read. Peek into their lives and watch their relationships blossom as they connect over their shared love of books and the stories that bring them together.|["Wamizu","Satori Satori"]|["Cats","Light Novels","Slice of Life"]|standalone
A Tale of the Secret Saint|Born into a long line of knights, Fia is determined to become a knight herself, just like all her siblings. But a brush with death awakens memories of her past life as a Saint–a woman who wields rare, powerful healing and protection magic–along with the ability to use that magic herself! The downside is that Fia also remembers her past life’s untimely death, and the danger she will be in if anyone finds out what she really is. She vows to stay on her knighthood path and keep her powers a secret forever! But how can she resist using her newfound powers when they’re just so useful?|["Touya","chibi"]|["Fantasy","Light Novels"]|series
A Tale of the Secret Saint ZERO|It’s three hundred years before Fia and her friends’ adventures in Náv, and Princess Serafina, the blind second princess of the land, lives hidden away in the forest. With only the forest spirits and her cousin, the young knight captain Sirius Ulysses, to keep her company, Serafina leads a peaceful life. But one day, an incident causes mysterious powers to awaken within her, and Serafina takes her first steps on the path that will ultimately lead her to becoming the one and only Great Saint!<br><br>This fun, light-hearted tale of a tiny saint and the strongest of knights is the prequel to the hit series, A Tale of the Secret Saint!|["Touya","chibi"]|["Action","Drama","Fantasy","Light Novels","Supernatural"]|series
Accomplishments of the Duke’s Daughter|Iris Armelia, the daughter of a powerful duke, is arrested and forced to her knees in front of her fiancé. Her betrothed, Prince Edward, is rejecting her for another woman! As Iris’s life flashes before her eyes, she suddenly realizes she knows exactly what’s coming next–because she has been reincarnated into her favorite otome game as its villainess. Quick thinking saves her from exile, but Iris can’t rest yet. If she wants to survive this world that sees her as wicked, she’ll have to change the world itself.|["Reia","Haduki Futaba"]|["Isekai / Another World","Light Novels","Shojo / Josei","Villainesses"]|series
Adachi and Shimamura|Adachi and Shimamura, two young women who attend the same high school, are inseparable friends. Whether playing table tennis, chatting about favorite TV shows, or just relaxing together, they’re happy to share their days. When Adachi’s friendship turns into romantic attraction, the relationship begins to change, one day at a time. This beloved yuri series has been charming audiences in Japan for years, and was one of the top-requested yuri light novels in Seven Seas’ reader surveys. Now, for the first time ever, read the original Adachi and Shimamura light novels in English, both in paperback and in early ebook editions!|["Hitoma Iruma","raemz","Non"]|["Light Novels","Romance","Slice of Life","Yuri"]|series
Alice in the Country of Diamonds|WELCOME TO THE ALL-NEW COUNTRY OF DIAMONDS!<br><br>After another Wonderland “move” throws Alice into the Country of Diamonds, she’s in for a nasty surprise: in Diamonds, none of her old friends recognize her! A routine trip to Hatter Mansion ends with Eliot’s gun in her face and a trip to the Hatter’s dungeon. As Alice tries to figure out the new dangerous reality of the Country of Diamonds—including the possibility that it’s stuck somewhere in the past—Blood develops interest in her, and tentatively offers her protection in his country. But this isn’t the Mad Hatter Alice is used to: this Blood seems younger, lacking his usual confidence, and struggling to run his Mafia organization. He’s also obsessed with her relationship with the “other” Blood Dupre, even while he and Alice become much more intimate.|["Nana Fumitsuki","Sana Shirakawa","QuinRose"]|["Alice in Wonderland","Based on a Video Game","Light Novels","Reverse Harem","Shojo / Josei"]|standalone
An Autumn in Amber, a Zero-Second Journey|Socially awkward loner Kayato has an intense fear of being touched and finds making friends extremely difficult. When he and his high school classmates visit Hakodate for a field trip, he suffers through some attempts to engage with the others, until…<br><br>Time stops for the entire world, but not for him.<br><br>All the hustle and bustle of the city fades into an eerie veil of silence, leaving him the only soul left in motion–until he finds another in Akira, a sharp-tongued local delinquent. Though she’s his total opposite, she begrudgingly agrees to help him solve the mystery. Their only lead is something Kayato’s uncle said just before he died about a “world plucked out of time,” as if preserved in amber. Hoping to find a clue among his late uncle’s possessions in Tokyo, the two teens must travel through the frozen world.|["Mei Hachimoku","KUKKA"]|["Light Novels","Science Fiction","Supernatural"]|standalone
Arifureta: From Commonplace to World’s Strongest|When a classroom of students is transported to another world to act as its saviors, Hajime Nagumo finds himself the weakest link. As his friends and classmates are granted strong classes and impressive abilities due to their existing skills, he is given the weak title of Synergist. When a dungeon quest leaves him separated from his group, Hajime must discover his own talents or be left to rot in this world forever.|["Ryo Shirakome","Takaya-ki"]|["Fantasy","Harem","Isekai / Another World","Light Novels"]|series
Arifureta: From Commonplace to World’s Strongest ZERO|Third-rate Synergist Oscar Orcus wants only to live a peaceful life, raising money to support the orphanage he grew up in. All of this changes when the whirlwind that is Miledi Reisen storms into his life. Miledi, seeing Oscar’s hidden potential, wants to recruit him for her mission to defeat the gods. Oscar wants no part of this–but when the orphanage suddenly comes under attack, he may have no choice!|["Ryo Shirakome","Takaya-ki"]|["Fantasy","Harem","Isekai / Another World","Light Novels"]|series
